IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP48;IP_PROP49;IP_PROP56;IP_PROP57;IP_PROP84;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
1530;623CH;Держатель для салфеток;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1531;623A CH;Держатель для салфеток с регулируемой длинной;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1532;623 1/2CH;Держатель для салфеток;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1533;623 1/2A CH;Держатель для салфеток с регулируемой длинной;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1534;1911/4;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1535;1911/3;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1536;1910/5;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1537;1910/4;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1538;1910/3;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1539;1906/5;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1540;1906/4;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1541;1906/3;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1542;1905/4;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1543;1905/3;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1544;1901/5;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1545;1901/4;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1546;1901/3;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1547;1900/5;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1548;1900/4;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1549;1900/3;Долото;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1550;531/4;;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1551;531/3;;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1552;530/4;;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1553;530/3;;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1554;1914/1;Костное долото Rhodes;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1555;1912/2;Долото Ochsenbein 16 см;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1556;1912/1;Долото Ochsenbein 16 см;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1557;1913/2;МИНИ-долото OCHSENBEIN;"Очень тонкое двухстороннее костное долото в двух 
вариантах ширины. Вариант 1: 1913/1 = 1,8 мм. Вариант 2: 1913/2 = 2,8 мм. 
Используется для коррекции и формирования выпуклого контура кости.";;CARL-MARTIN SOLINGEN;Германия;Хирургия, Пародонтология;;;;;;
1558;1913/1;МИНИ-долото OCHSENBEIN;"Очень тонкое двухстороннее костное долото в двух 
вариантах ширины. Вариант 1: 1913/1 = 1,8 мм. Вариант 2: 1913/2 = 2,8 мм. 
Используется для коррекции и формирования выпуклого контура кости.";;CARL-MARTIN SOLINGEN;Германия;Хирургия, Пародонтология;;;;;;
1559;1010/3;Долото для эмали;;;CARL-MARTIN SOLINGEN;Германия;Хирургия, Пародонтология;;;;;;
1560;1010/2;Долото для эмали;;;CARL-MARTIN SOLINGEN;Германия;Хирургия, Пародонтология;;;;;;
1561;1898B/17.5;Зажим;Зажимы артериальные. Зажимы для наложения повязки.;;CARL-MARTIN SOLINGEN;Германия;Имплантология, Хирургия;;;;;;
1562;1894MI/12.5;Зажим;;;CARL-MARTIN SOLINGEN;Германия;Имплантология, Хирургия;;;;;;
1563;635;Зажим Tobold;;;CARL-MARTIN SOLINGEN;Германия;Имплантология, Хирургия;;;;;;
1564;490SC;Рукоятка для зеркал чёрная;Серия COLORI, термостойкий пластик, резьбовая гильза M2,5 из нержавеющей стали.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1565;490RO;Рукоятка для зеркал красная;Серия COLORI, термостойкий пластик, резьбовая гильза M2,5 из нержавеющей стали.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1566;490GR;Рукоятка для зеркал зелёная;Серия COLORI, термостойкий пластик, резьбовая гильза M2,5 из нержавеющей стали.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1567;490GE;Рукоятка для зеркал жёлтая;Серия COLORI, термостойкий пластик, резьбовая гильза M2,5 из нержавеющей стали.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1568;490BL;Рукоятка для зеркал синяя;Серия COLORI, термостойкий пластик, резьбовая гильза M2,5 из нержавеющей стали.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1569;489;Рукоятка для зеркал полая;Нержавеющая сталь.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1570;488/2;Плоское резекционное зеркало;Диаметр: 8 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1571;488/1;Плоское резекционное зеркало;Диаметр: 6 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1572;487;Рукоятка для зеркал монолитная;Нержавеющая сталь;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1573;486;Рукоятка для зеркал полая, граненая, легкая;Нержавеющая сталь;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1574;LSCO485-WE;Рукоятка для зеркал полая с белым ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1575;LSCO485-SC;Рукоятка для зеркал полая с чёрным ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1576;LSCO485-RO;Рукоятка для зеркал полая с красным ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1577;LSCO485-MA;Рукоятка для зеркал полая с пурпурным ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1578;LSCO485-GR;Рукоятка для зеркал полая с зелёным ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1579;LSCO485-GE;Рукоятка для зеркал полая с жёлтым ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1580;LSCO485-BL;Рукоятка для зеркал полая с синим ободком;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
