IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;прямые;28359;266-103440 CONE PLUS;266-103440-cone-plus;Имплантология;BONETRUST;Германия;Scan Abutment cone+, 3.4/4.0 mm, Peek;;120.png;120.png
BoneTrust;абатменты;заживляющие;28358;280-255000 CONE PLUS;280-255000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для открытой ложки с фиксирующим винтом, длинный, ;;72_17_241.jpg;72_17_241.jpg
BoneTrust;абатменты;заживляющие;28357;280-254000 CONE PLUS;280-254000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для открытой ложки с фиксирующим винтом, длинный, ;;72_98_71.jpg;72_98_71.jpg
BoneTrust;абатменты;заживляющие;28356;280-155000 CONE PLUS;280-155000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;138_74_79.jpg;138_74_79.jpg
BoneTrust;абатменты;заживляющие;28355;280-154000 CONE PLUS;280-154000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;138_27_960.jpg;138_27_960.jpg
BoneTrust;трансферы;;28354;280-153400 CONE PLUS;280-153400-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;138.jpg;138.jpg
BoneTrust;абатменты;заживляющие;28353;270-WB5050 CONE PLUS;270-wb5050-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, высота десны 5.0 мм, ;;137_89_65.png;137_89_65.png
BoneTrust;абатменты;заживляющие;28352;270-005015 CONE PLUS;270-005015-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;133_6_356.png;133_6_356.png
BoneTrust;абатменты;заживляющие;28351;270-004015 CONE PLUS;270-004015-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;133.png;133.png
BoneTrust;абатменты;заживляющие;28350;270-003415 CONE PLUS;270-003415-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;130_32_495.png;130_32_495.png
BoneTrust;абатменты;заживляющие;28349;270-003015 CONE PLUS;270-003015-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;130.png;130.png
