IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;CAD/CAM;28348;266-FB5015 CONE PLUS;266-fb5015-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM абатмент FlexBase hex, 15°, ;;/upload/photo/129.jpg;/upload/photo/129.jpg
BoneTrust;абатменты;CAD/CAM;28347;266-FB5000 CONE PLUS;266-fb5000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM абатмент FlexBase hex, 0°, ;;/upload/photo/128.jpg;/upload/photo/128.jpg
BoneTrust;абатменты;CAD/CAM;28346;266-305000 CONE PLUS;266-305000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM титанвая основа CONE 0° для Cerec, ;;/upload/photo/125_32_891.jpg;/upload/photo/125_32_891.jpg
BoneTrust;абатменты;CAD/CAM;28345;266-303440 CONE PLUS;266-303440-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM титанвая основа CONE 0° для Cerec, ;;/upload/photo/125.jpg;/upload/photo/125.jpg
BoneTrust;абатменты;CAD/CAM;28344;266-153000 CONE PLUS;266-153000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 15°, 0,5 мм, ;;/upload/photo/121.jpg;/upload/photo/121.jpg
BoneTrust;абатменты;CAD/CAM;28343;266-005000 CONE PLUS;266-005000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, 0,5 мм, ;;/upload/photo/119.jpg;/upload/photo/119.jpg
BoneTrust;абатменты;CAD/CAM;28342;266-003430 CONE PLUS;266-003430-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, высота 3 мм, ;;/upload/photo/117.png;/upload/photo/117.png
BoneTrust;абатменты;CAD/CAM;28300;166-FB5015 HEX PLUS;166-fb5015-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM абатмент FlexBase hex, 15°;;/upload/photo/54.jpg;/upload/photo/54.jpg
BoneTrust;абатменты;CAD/CAM;28292;166-303440 HEX PLUS;166-303440-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM титановая основа HEX 0° для Cerec, ;;/upload/photo/47.jpg;/upload/photo/47.jpg
BoneTrust;абатменты;CAD/CAM;20786;166-003440 Hex Plus;166-003440-hex-plus;Имплантология;BONETRUST;Германия;Основа титановая для соединения импланта с абатментом. d=3,4/4,0 мм. h=0,5 мм;;/upload/photo/rmt746364499686161097.jpg;/upload/photo/rmt746364499686161097.jpg
BoneTrust;абатменты;CAD/CAM;20776;166-344052 Cone Plus;166-344052-cone-plus;Имплантология;BONETRUST;Германия;Колпачок для сканирования для CAD/CAM клеящей основы из титана, ;;/upload/photo/50.jpg;/upload/photo/50.jpg
