IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;имплантаты;;28310;200-040145 HEX PLUS;200-040145-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;82_8_289.jpg;82_8_289.jpg
BoneTrust;имплантаты;;28309;200-034145 HEX PLUS;200-034145-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;81_81_714.jpg;81_81_714.jpg
BoneTrust;имплантаты;;20612;210-050130 Cone Plus;210-050130-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;83_38_278.jpg;83_38_278.jpg
BoneTrust;имплантаты;;20611;210-050115 Cone Plus;210-050115-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;83_4_98.jpg;83_4_98.jpg
BoneTrust;имплантаты;;20610;210-050100 Cone Plus;210-050100-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;83_93_971.jpg;83_93_971.jpg
BoneTrust;имплантаты;;20609;210-050080 Cone Plus;210-050080-cone-plus;Имплантология;BONETRUST;Германия;Имлантат конус ;;83_35_431.jpg;83_35_431.jpg
BoneTrust;имплантаты;;20608;210-050065 Cone Plus;210-050065-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;83_88_607.jpg;83_88_607.jpg
BoneTrust;имплантаты;;20607;210-040145 Cone Plus;210-040145-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;82_89_798.jpg;82_89_798.jpg
BoneTrust;имплантаты;;20606;210-040130 Cone Plus;210-040130-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;82_88_852.jpg;82_88_852.jpg
BoneTrust;имплантаты;;20605;210-040115 Cone Plus;210-040115-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;82_47_698.jpg;82_47_698.jpg
BoneTrust;имплантаты;;20604;210-040100 Cone Plus;210-040100-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;82_49_422.jpg;82_49_422.jpg
BoneTrust;имплантаты;;20603;210-040080 Cone Plus;210-040080-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;82_1_782.jpg;82_1_782.jpg
BoneTrust;имплантаты;;20602;210-040065 Cone Plus;210-040065-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;82_72_498.jpg;82_72_498.jpg
BoneTrust;имплантаты;;20601;210-034145 Cone Plus;210-034145-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;81_16_476.jpg;81_16_476.jpg
BoneTrust;имплантаты;;20600;210-034130 Cone Plus;210-034130-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;81_14_247.jpg;81_14_247.jpg
BoneTrust;имплантаты;;20599;210-034115 Cone Plus;210-034115-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;81_95_720.jpg;81_95_720.jpg
BoneTrust;имплантаты;;20598;210-034100 Cone Plus;210-034100-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;81_45_546.jpg;81_45_546.jpg
BoneTrust;имплантаты;;20597;210-034080 Cone Plus;210-034080-cone-plus;Имплантология;BONETRUST;Германия;Импплантат конус ;;81_6_209.jpg;81_6_209.jpg
BoneTrust;имплантаты;;20596;210-034065 Cone Plus;210-034065-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;81_67_352.jpg;81_67_352.jpg
BoneTrust;имплантаты;;20595;210-030130 Cone Plus;210-030130-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;80_99_110.jpg;80_99_110.jpg
BoneTrust;имплантаты;;20594;210-030115 Cone Plus;210-030115-cone-plus;Имплантология;BONETRUST;Германия;Имплантат конус ;;80_14_509.jpg;80_14_509.jpg
BoneTrust;имплантаты;;20593;210-050120 Cone Plus Sinus;210-050120-cone-plus-sinus;Имплантология;BONETRUST;Германия;Имплантат ;;kartinka_1_61_625.png;kartinka_1_61_625.png
BoneTrust;имплантаты;;20592;210-040120 Cone Plus Sinus;210-040120-cone-plus-sinus;Имплантология;BONETRUST;Германия;Имплантат ;;kartinka_1_80_605.png;kartinka_1_80_605.png
BoneTrust;имплантаты;;20579;220-030130 One;220-030130-one;Имплантология;BONETRUST;Германия;Имплантат ;;84_53_744.jpg;84_53_744.jpg
BoneTrust;имплантаты;;20578;220-030115 One;220-030115-one;Имплантология;BONETRUST;Германия;Имплантат ;;84.jpg;84.jpg
BoneTrust;имплантаты;;20525;200-050130 Hex Plus;200-050130-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;83_73_214.jpg;83_73_214.jpg
BoneTrust;имплантаты;;20524;200-050115 Hex Plus;200-050115-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;83_53_697.jpg;83_53_697.jpg
BoneTrust;имплантаты;;20523;200-050100 Hex Plus;200-050100-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;83_47_925.jpg;83_47_925.jpg
BoneTrust;имплантаты;;20522;200-050080 Hex Plus;200-050080-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;83_22_553.jpg;83_22_553.jpg
BoneTrust;имплантаты;;20521;200-050065 Hex Plus;200-050065-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;83.jpg;83.jpg
BoneTrust;имплантаты;;20520;200-040115 Hex Plus;200-040115-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;82_64_255.jpg;82_64_255.jpg
BoneTrust;имплантаты;;20519;200-040100 Hex Plus;200-040100-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;82_7_989.jpg;82_7_989.jpg
BoneTrust;имплантаты;;20518;200-040080 Hex Plus;200-040080-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;82_10_291.jpg;82_10_291.jpg
BoneTrust;имплантаты;;20517;200-040065 Hex Plus;200-040065-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;82.jpg;82.jpg
BoneTrust;имплантаты;;20516;200-034130 Hex Plus;200-034130-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;81_69_92.jpg;81_69_92.jpg
BoneTrust;имплантаты;;20515;200-034115 Hex Plus;200-034115-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;81_97_730.jpg;81_97_730.jpg
BoneTrust;имплантаты;;20514;200-034100 Hex Plus;200-034100-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;81_54_744.jpg;81_54_744.jpg
BoneTrust;имплантаты;;20513;200-034080 Hex Plus;200-034080-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;81_68_911.jpg;81_68_911.jpg
BoneTrust;имплантаты;;20512;200-034065 Hex Plus;200-034065-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;81.jpg;81.jpg
BoneTrust;имплантаты;;20511;200-030130 Hex Plus;200-030130-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;80_32_478.jpg;80_32_478.jpg
BoneTrust;имплантаты;;20510;200-030115 Hex Plus;200-030115-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;80.jpg;80.jpg
BoneTrust;имплантаты;;20509;200-040130 Hex Plus;200-040130-hex-plus;Имплантология;BONETRUST;Германия;Имплантат шестигранник ;;82_91_991.jpg;82_91_991.jpg
BoneTrust;имплантаты;;20508;100-050120 Sinus;100-050120-sinus;Имплантология;BONETRUST;Германия;Имплантат ;;kartinka_1.png;kartinka_1.png
BoneTrust;имплантаты;;20507;100-040120 Sinus;100-040120-sinus;Имплантология;BONETRUST;Германия;Имплантат ;;kartinka_1_2105944553.jpg;kartinka_1_2105944553.jpg
BoneTrust;ортопедия;;26336;165-344057 Cone Plus;165-344057-cone-plus;Имплантология;BONETRUST;Германия;Винт фиксирующий;;39_95_864.jpg;39_95_864.jpg
BoneTrust;планшет и инструменты;;20792;190-300410 Поднос;190-300410-podnos;Имплантология;BONETRUST;Германия;Поднос хирургический без оборудования ;;rmt7978915911952322488.jpg;rmt7978915911952322488.jpg
BoneTrust;планшет и инструменты;;20790;190-101201;190-101201;Имплантология;BONETRUST;Германия;Отвертка шестиугольная средняя для  установки абатмента в имплант;;rmt1546547001776027595.jpg;rmt1546547001776027595.jpg
BoneTrust;планшет и инструменты;;20789;190-101202;190-101202;Имплантология;BONETRUST;Германия;Отвертка шестиугольная короткая для установки абатмента в имплант;;rmt470433805188994032.jpg;rmt470433805188994032.jpg
BoneTrust;планшет и инструменты;;20787;190-303040;190-303040;Имплантология;BONETRUST;Германия;Отвертка Easy Screw разработки д-ра Дж. Байера, Ландсберг.;Применение: для установки имплантов и крепежных винтов в передней части ротовой полости.;79.jpg;79.jpg
BoneTrust;планшет и инструменты;;20784;190-300335 Набор;190-300335-nabor;Имплантология;BONETRUST;Германия;Набор инструментов для протезирования на лотке.;Состав набора: Лоток: 1 шт. Динамометрический ключ: 1 шт. Шестиугольная отвертка длинная: 1 шт. Отвертка шестиугольная короткая: 1 шт.;78_48_175.jpg;78_48_175.jpg
BoneTrust;планшет и инструменты;;20783;190-300334 Набор;190-300334-nabor;Имплантология;BONETRUST;Германия;Набор инструментов для протезирования на лотке;Состав набора: Лоток: 1 шт. Динамометрический ключ: 1 шт. Шестиугольная отвертка длинная: 1 шт. Отвертка шестиугольная короткая: 1 шт.;78.jpg;78.jpg
BoneTrust;планшет и инструменты;;20782;190-300310 Набор;190-300310-nabor;Имплантология;BONETRUST;Германия;Набор инструментов для имплантологии ;55;rmt19701226641896885446.jpg;rmt19701226641896885446.jpg
BoneTrust;планшет и инструменты;;20781;190-300300 Набор;190-300300-nabor;Имплантология;BONETRUST;Германия;Набор инструментов для имплантологии;56;77_converted.jpg;77_converted.jpg
BoneTrust;планшет и инструменты;;20780;190-300191 Набор;190-300191-nabor;Имплантология;BONETRUST;Германия;Набор демонстрационный ;Планшет для ограничителей глубины сверления, неукомплектованный;rmt6213571321869874944.jpg;rmt6213571321869874944.jpg
BoneTrust;планшет и инструменты;;20773;190-303050 Ключ;190-303050-kluch;Имплантология;BONETRUST;Германия;Ключ динамометрический для установки имплантов ;;rmt514420322185337259.jpg;rmt514420322185337259.jpg
BoneTrust;планшет и инструменты;;20772;190-101220;190-101220;Имплантология;BONETRUST;Германия;Инструмент для завинчивания Direct для 0°-го абатмента;;rmt2288927051727451261.jpg;rmt2288927051727451261.jpg
BoneTrust;планшет и инструменты;;20767;190-301700 Глубиномер;190-301700-glubinometr;Имплантология;BONETRUST;Германия;Инструмент для контроля над глубиной сверления под имплант;;prothetiktray_instrumente_460x3803_42_524.jpg;prothetiktray_instrumente_460x3803_42_524.jpg
BoneTrust;сверла;;20798;191-001200;191-001200;Имплантология;BONETRUST;Германия;Сверло маркировочное 1,2 мм;;rmt45700525875079114.jpg;rmt45700525875079114.jpg
BoneTrust;сверла;;20797;191-004250;191-004250;Имплантология;BONETRUST;Германия;Сверло 4,25 мм. для предварительного сверления;;rmt1394278148445220273.jpg;rmt1394278148445220273.jpg
BoneTrust;сверла;;20796;191-003250;191-003250;Имплантология;BONETRUST;Германия;Сверло 3,25 мм. для предварительного сверления;;rmt6110408851867222034.jpg;rmt6110408851867222034.jpg
BoneTrust;сверла;;20795;191-003100;191-003100;Имплантология;BONETRUST;Германия;Сверло 3,1 мм. для предварительного сверления;;rmt2972549331530136313.jpg;rmt2972549331530136313.jpg
BoneTrust;сверла;;20794;191-002800;191-002800;Имплантология;BONETRUST;Германия;Сверло 2,8 мм. для предварительного сверления;;rmt21144595202119226505.jpg;rmt21144595202119226505.jpg
BoneTrust;сверла;;20793;191-002000;191-002000;Имплантология;BONETRUST;Германия;Сверло 2 мм. для предварительного сверления;;rmt2598372381724242451.jpg;rmt2598372381724242451.jpg
BoneTrust;сверла;;20785;191-500500 Набор;191-500500-nabor;Имплантология;BONETRUST;Германия;Сверлильный стоп, набор из 15 частей;Состав набора: Сверло для предварительного сверления: 5 шт. Расширяющее сверло: 5 шт. Десневое сверло.;rmt2017148008226803423.jpg;rmt2017148008226803423.jpg
BoneTrust;трансферы;;28354;280-153400 CONE PLUS;280-153400-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;138.jpg;138.jpg
BoneTrust;трансферы;;28308;180-255000 HEX PLUS;180-255000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для открытой ложки с фиксирующим винтом, длинный, ;;72_83_233.jpg;72_83_233.jpg
BoneTrust;трансферы;;28307;180-254000 HEX PLUS;180-254000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для открытой ложки с фиксирующим винтом, длинный,  ;;72_87_292.jpg;72_87_292.jpg
BoneTrust;трансферы;;28306;180-155000 HEX PLUS;180-155000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный ;;68_15_660.jpg;68_15_660.jpg
BoneTrust;трансферы;;28305;180-154000 HEX PLUS;180-154000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;68_52_387.jpg;68_52_387.jpg
BoneTrust;трансферы;;28304;180-153400 HEX PLUS;180-153400-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;68.jpg;68.jpg
BoneTrust;трансферы;;20672;180-253400 Hex Plus;180-253400-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный ;Для метода открытой ложки;72_39_264.jpg;72_39_264.jpg
BoneTrust;трансферы;;20671;180-253000 Hex Plus;180-253000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный ;Слепочный трансфер для метода открытой ложки.;72.jpg;72.jpg
BoneTrust;трансферы;;20670;180-205000 Hex Plus;180-205000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный ;Слепочный трансфер для метода открытой ложки.;71_29_557.jpg;71_29_557.jpg
BoneTrust;трансферы;;20669;180-204000 Hex Plus;180-204000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный ;Слепочный трансфер для метода открытой ложки.;71_14_763.jpg;71_14_763.jpg
BoneTrust;трансферы;;20668;180-203400 Hex Plus;180-203400-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный ;;71_34_26.jpg;71_34_26.jpg
BoneTrust;трансферы;;20667;180-203000 Hex Plus;180-203000-hex-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный ;Слепочный трансфер для метода открытой ложки.;71.jpg;71.jpg
BoneTrust;трансферы;;20666;180-105000 Hex Plus;180-105000-hex-plus;Имплантология;BONETRUST;Германия;По технологии „Pепозиционирование“ ;Слепочный трансфер по технологии „репозиционирование“.;67_66_512.jpg;67_66_512.jpg
BoneTrust;трансферы;;20665;180-104000 Hex Plus;180-104000-hex-plus;Имплантология;BONETRUST;Германия;По технологии „Pепозиционирование“ ;Слепочный трансфер по технологии „репозиционирование“.;67_60_317.jpg;67_60_317.jpg
BoneTrust;трансферы;;20664;180-103400 Hex Plus;180-103400-hex-plus;Имплантология;BONETRUST;Германия;По технологии „Pепозиционирование“ ;Слепочный трансфер по технологии „репозиционирование“.;67_84_355.jpg;67_84_355.jpg
BoneTrust;трансферы;;20663;180-103000 Hex Plus;180-103000-hex-plus;Имплантология;BONETRUST;Германия;По технологии „Pепозиционирование“ ;Слепочный трансфер по технологии „репозиционирование“.;67.jpg;67.jpg
BoneTrust;трансферы;;20662;180-101550 Hex Plus;180-101550-hex-plus;Имплантология;BONETRUST;Германия;Слепочный колпачок ;Слепочный трансфер по технологии „репозиционирование“.;66_75_445.png;66_75_445.png
BoneTrust;трансферы;;20661;180-101540 Hex Plus;180-101540-hex-plus;Имплантология;BONETRUST;Германия;Слепочный колпачок ;Слепочный трансфер по технологии „репозиционирование“.;66_20_6.png;66_20_6.png
BoneTrust;трансферы;;20660;180-101534 Hex Plus;180-101534-hex-plus;Имплантология;BONETRUST;Германия;Слепочный колпачок ;Слепочный трансфер по технологии „репозиционирование“.;66_74_833.png;66_74_833.png
BoneTrust;трансферы;;20659;180-101530 Hex Plus;180-101530-hex-plus;Имплантология;BONETRUST;Германия;Слепочный колпачок ;Слепочный трансфер по технологии „репозиционирование“.;66.png;66.png
BoneTrust;трансферы;;20656;185-030000 Hex Plus;185-030000-hex-plus;Имплантология;BONETRUST;Германия;Аналог имплантата титановый лабораторный, ;Диаметр: 3,0 мм. Является опорной площадкой при изготовлении зубного протеза. ;73.jpg;73.jpg
BoneTrust;трансферы;;20655;185-050000 Hex Plus;185-050000-hex-plus;Имплантология;BONETRUST;Германия;Аналог имплантата титановый лабораторный, ;Диаметр: 5,0 мм. Является опорной площадкой при изготовлении зубного протеза.;75.jpg;75.jpg
BoneTrust;трансферы;;20654;185-040000 Hex Plus;185-040000-hex-plus;Имплантология;BONETRUST;Германия;Аналог имплантата титановый лабораторный, ;Диаметр: 4,0 мм. Является опорной площадкой при изготовлении зубного протеза.;76.jpg;76.jpg
BoneTrust;трансферы;;20653;185-034000 Hex Plus;185-034000-hex-plus;Имплантология;BONETRUST;Германия;Аналог имплантата титановый лабораторный, ;Диаметр: 3,4 мм. Является опорной площадкой при изготовлении зубного протеза.;74.jpg;74.jpg
BoneTrust;трансферы;;20652;180-252250 Hex Plus;180-252250-hex-plus;Имплантология;BONETRUST;Германия;Длинный фиксирующий винт операционный, 27.5 мм;;70.jpg;70.jpg
BoneTrust;трансферы;;20651;180-201750 Hex Plus;180-201750-hex-plus;Имплантология;BONETRUST;Германия;Короткий фиксирующий винт операционный, 18.5 мм;;69.jpg;69.jpg
BoneTrust;трансферы;;20567;285-050000 Cone Plus;285-050000-cone-plus;Имплантология;BONETRUST;Германия;Лабораторный аналог имплантата, ;;76_59_745.jpg;76_59_745.jpg
BoneTrust;трансферы;;20566;285-040000 Cone Plus;285-040000-cone-plus;Имплантология;BONETRUST;Германия;Лабораторный аналог имплантата, ;;75_20_540.jpg;75_20_540.jpg
BoneTrust;трансферы;;20565;285-034000 Cone Plus;285-034000-cone-plus;Имплантология;BONETRUST;Германия;Лабораторный аналог имплантата, ;;74_44_565.jpg;74_44_565.jpg
BoneTrust;трансферы;;20564;285-030000 Cone Plus;285-030000-cone-plus;Имплантология;BONETRUST;Германия;Лабораторный аналог имплантата, ;;73_60_655.jpg;73_60_655.jpg
BoneTrust;трансферы;;20554;280-253400 Cone Plus;280-253400-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный. ;;72_99_551.jpg;72_99_551.jpg
BoneTrust;трансферы;;20553;280-253000 Cone Plus;280-253000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер по технологии „Pепозиционирование“. ;;72_26_345.jpg;72_26_345.jpg
BoneTrust;трансферы;;20552;280-205000 Cone Plus;280-205000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный. ;;139_83_327.png;139_83_327.png
BoneTrust;трансферы;;20551;280-204000 Cone Plus;280-204000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный. ;;139_56_200.png;139_56_200.png
BoneTrust;трансферы;;20550;280-203400 Cone Plus;280-203400-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный. ;;139_99_16.png;139_99_16.png
BoneTrust;трансферы;;20549;280-203000 Cone Plus;280-203000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер операционный cone+ ;;139.png;139.png
BoneTrust;трансферы;;20548;280-105000 Cone Plus;280-105000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер по технологии „Pепозиционирование“. ;;67_80_414.jpg;67_80_414.jpg
BoneTrust;трансферы;;20547;280-104000 Cone Plus;280-104000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер по технологии „Pепозиционирование“. ;;67_84_636.jpg;67_84_636.jpg
BoneTrust;трансферы;;20546;280-103400 Cone Plus;280-103400-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер по технологии „Pепозиционирование“. ;;67_50_553.jpg;67_50_553.jpg
BoneTrust;трансферы;;20545;280-103000 Cone Plus;280-103000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер по технологии „Pепозиционирование“. ;;67_76_835.jpg;67_76_835.jpg
