IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;планшет и инструменты;;20781;190-300300 Набор;190-300300-nabor;Имплантология;BONETRUST;Германия;Набор инструментов для имплантологии;Состав набора: Имплантоввод машинный 3,0 мм.: 2 шт. Машинный: 2 шт. Bonetrust: 2 шт.  Для короткого ключа: 2 шт. Для среднего ключа: 2 шт. Для длинного ключа: 2 шт. Машинная шестигранная короткая отвертка: 2 шт. Длинная отвертка: 2 шт. Ручная короткая отвертка: 2 шт. Средняя отвертка: 2 шт. Длинная отвертка: 2 шт. Динамометрический ключ: 2 шт. Глубиномер: 2 шт. Хирургический планшет: 2 шт. (белый и черный). Щетки для чистки динамометрического ключа: 2 шт. Пленка для планирования позиции на рентгеновском снимке: 2 шт. Комплект шариков для проведения рентгенографии (по 2 шт.): 2 шт.;77_converted.jpg;77_converted.jpg
BoneTrust;планшет и инструменты;;20780;190-300191 Набор;190-300191-nabor;Имплантология;BONETRUST;Германия;Набор демонстрационный ;Планшет для ограничителей глубины сверления, неукомплектованный;rmt6213571321869874944.jpg;rmt6213571321869874944.jpg
BoneTrust;планшет и инструменты;;20773;190-303050 Ключ;190-303050-kluch;Имплантология;BONETRUST;Германия;Ключ динамометрический для установки имплантов ;;rmt514420322185337259.jpg;rmt514420322185337259.jpg
BoneTrust;планшет и инструменты;;20772;190-101220;190-101220;Имплантология;BONETRUST;Германия;Инструмент для завинчивания Direct для 0°-го абатмента;;rmt2288927051727451261.jpg;rmt2288927051727451261.jpg
BoneTrust;планшет и инструменты;;20767;190-301700 Глубиномер ;190-301700-glubinometr;Имплантология;BONETRUST;Германия;Инструмент для контроля над глубиной сверления под имплант;;prothetiktray_instrumente_460x3803_42_524.jpg;prothetiktray_instrumente_460x3803_42_524.jpg
BoneTrust;сверла;;20798;191-001200;191-001200;Имплантология;BONETRUST;Германия;Сверло маркировочное 1,2 мм;;rmt45700525875079114.jpg;rmt45700525875079114.jpg
BoneTrust;сверла;;20797;191-004250;191-004250;Имплантология;BONETRUST;Германия;Сверло 4,25 мм. для предварительного сверления;;rmt1394278148445220273.jpg;rmt1394278148445220273.jpg
BoneTrust;сверла;;20796;191-003250;191-003250;Имплантология;BONETRUST;Германия;Сверло 3,25 мм. для предварительного сверления;;rmt6110408851867222034.jpg;rmt6110408851867222034.jpg
BoneTrust;сверла;;20795;191-003100;191-003100;Имплантология;BONETRUST;Германия;Сверло 3,1 мм. для предварительного сверления;;rmt2972549331530136313.jpg;rmt2972549331530136313.jpg
BoneTrust;сверла;;20794;191-002800;191-002800;Имплантология;BONETRUST;Германия;Сверло 2,8 мм. для предварительного сверления;;rmt21144595202119226505.jpg;rmt21144595202119226505.jpg
