IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
CARL MARTIN SOLINGEN;Держатели для салфеток;;623CH;623ch;Терапия;CARL-MARTIN SOLINGEN;Германия;Держатель для салфеток;;rmt20441687672020146628.jpg;rmt20441687672020146628.jpg
CARL MARTIN SOLINGEN;Держатели для салфеток;;623A CH;623a-ch;Терапия;CARL-MARTIN SOLINGEN;Германия;Держатель для салфеток с регулируемой длинной;;rmt8319379661629218586.jpg;rmt8319379661629218586.jpg
CARL MARTIN SOLINGEN;Держатели для салфеток;;623 1/2CH;623-1-2ch;Терапия;CARL-MARTIN SOLINGEN;Германия;Держатель для салфеток;;rmt14509507952078165554.jpg;rmt14509507952078165554.jpg
CARL MARTIN SOLINGEN;Держатели для салфеток;;623 1/2A CH;623-1-2a-ch;Терапия;CARL-MARTIN SOLINGEN;Германия;Держатель для салфеток с регулируемой длинной;;rmt10748286692011737533.jpg;rmt10748286692011737533.jpg
CARL MARTIN SOLINGEN;Долота;;1911/4;1911-4;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;4мм х 16см;rmt46287988925609567.jpg;rmt46287988925609567.jpg
CARL MARTIN SOLINGEN;Долота;;1911/3;1911-3;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;3мм х 16см;rmt16519199491851974457.jpg;rmt16519199491851974457.jpg
CARL MARTIN SOLINGEN;Долота;;1910/5;1910-5;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;;rmt577468952744110207.png;rmt577468952744110207.png
CARL MARTIN SOLINGEN;Долота;;1910/4;1910-4;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;4мм х 16см;rmt2017270451880625355.jpg;rmt2017270451880625355.jpg
CARL MARTIN SOLINGEN;Долота;;1910/3;1910-3;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;3мм х 16см;rmt1445407919433783690.jpg;rmt1445407919433783690.jpg
CARL MARTIN SOLINGEN;Долота;;1906/5;1906-5;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;;rmt299973941192590086.png;rmt299973941192590086.png
CARL MARTIN SOLINGEN;Долота;;1906/4;1906-4;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;4мм х 14см;rmt18372053682013619345.jpg;rmt18372053682013619345.jpg
CARL MARTIN SOLINGEN;Долота;;1906/3;1906-3;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;3мм х 14см;rmt7386153971718910703.jpg;rmt7386153971718910703.jpg
CARL MARTIN SOLINGEN;Долота;;1905/4;1905-4;Хирургия;CARL-MARTIN SOLINGEN;Германия;Долото;4мм х 14см;rmt12366168812022891779.jpg;rmt12366168812022891779.jpg
